codigo_super_cias,etiqueta
1,2
1,ACTIVO
101,ACTIVO CORRIENTE
10101,EFECTIVO Y EQUIVALENTES DE EFECTIVO
1010101,CAJA
1010102,INSTITUCIONES FINANCIERAS PÚBLICAS
1010103,INSTITUCIONES FINANCIERAS PRIVADAS
10102,ACTIVOS FINANCIEROS
1010201,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
101020101,RENTA VARIABLE
10102010101,ACCIONES Y PARTICIPACIONES
10102010102,CUOTAS DE FONDOS COLECTIVOS
10102010103,VALORES DE  TITULARIZACIÓN DE PARTICIPACIÓN
10102010104,UNIDADES DE PARTICIPACIÓN
10102010105,INVERSIONES EN EL EXTERIOR
10102010106,OTROS
101020102,RENTA FIJA
10102010201,AVALES
10102010202,BONOS DEL ESTADO
10102010203,BONOS DE PRENDA
10102010204,CÉDULAS HIPOTECARIAS
10102010205,CERTIFICADOS FINANCIEROS
10102010206,CERTIFICADOS DE INVERSIÓN
10102010207,CERTIFICADOS DE TESORERÍA
10102010208,CERTIFICADOS DE DEPÓSITO
10102010209,CUPONES
10102010210,DEPÓSITOS A PLAZO
10102010211,LETRAS DE CAMBIO
10102010212,NOTAS DE CRÉDITO
10102010213,OBLIGACIONES
10102010214,FACTURAS COMERCIALES NEGOCIABLES
10102010215,OVERNIGHTS
10102010216,OBLIGACIONES CONVERTIBLES EN ACCIONES
10102010217,PAPEL COMERCIAL
10102010218,PAGARÉS
10102010219,PÓLIZAS DE ACUMULACIÓN
10102010220,TÍTULOS DEL BANCO CENTRAL
10102010221,VALORES DE TITULARIZACIÓN
10102010222,INVERSIONES EN EL EXTERIOR
10102010223,OTROS
101020103,DERIVADOS
10102010301,FORWARD
10102010302,FUTUROS
10102010303,OPCIONES
10102010304,OTROS
1010202,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
101020201,RENTA VARIABLE
10102020101,ACCIONES Y PARTICIPACIONES
10102020102,CUOTAS DE FONDOS COLECTIVOS
10102020103,UNIDADES DE PARTICIPACIÓN
10102020104,VALORES DE  TITULARIZACIÓN DE PARTICIPACIÓN
10102020105,INVERSIONES EN EL EXTERIOR
10102020106,OTROS
101020202,RENTA FIJA
10102020201,AVALES
10102020202,BONOS DEL ESTADO
10102020203,BONOS DE PRENDA
10102020204,CÉDULAS HIPOTECARIAS
10102020205,CERTIFICADOS FINANCIEROS
10102020206,CERTIFICADOS DE INVERSIÓN
10102020207,CERTIFICADOS DE TESORERÍA
10102020208,CERTIFICADOS DE DEPÓSITO
10102020209,CUPONES
10102020210,DEPÓSITOS A PLAZO
10102020211,LETRAS DE CAMBIO
10102020212,NOTAS DE CRÉDITO
10102020213,OBLIGACIONES
10102020214,FACTURAS COMERCIALES NEGOCIABLES
10102020215,OVERNIGHTS
10102020216,OBLIGACIONES CONVERTIBLES EN ACCIONES
10102020217,PAPEL COMERCIAL
10102020218,PAGARÉS
10102020219,PÓLIZAS DE ACUMULACIÓN
10102020220,TÍTULOS DEL BANCO CENTRAL
10102020221,VALORES DE TITULARIZACIÓN
10102020222,INVERSIONES EN EL EXTERIOR
10102020223,OTROS
1010203,ACTIVOS FINANCIEROS AL COSTO AMORTIZADO
101020302,RENTA FIJA
10102030201,AVALES
10102030202,BONOS DEL ESTADO
10102030203,BONOS DE PRENDA
10102030204,CÉDULAS HIPOTECARIAS
10102030205,CERTIFICADOS FINANCIEROS
10102030206,CERTIFICADOS DE INVERSIÓN
10102030207,CERTIFICADOS DE TESORERÍA
10102030208,CERTIFICADOS DE DEPÓSITO
10102030209,CUPONES
10102030210,DEPÓSITOS A PLAZO
10102030211,LETRAS DE CAMBIO
10102030212,NOTAS DE CRÉDITO
10102030213,OBLIGACIONES
10102030214,FACTURAS COMERCIALES NEGOCIABLES
10102030215,OVERNIGHTS
10102030216,OBLIGACIONES CONVERTIBLES EN ACCIONES
10102030217,PAPEL COMERCIAL
10102030218,PAGARÉS
