codigo_super_cias,etiqueta,actividad,columna,categoria
10102010101,ACCIONES Y PARTICIPACIONES,INVERSION,Y,Total Actividades de Inversión
10102010102,CUOTAS DE FONDOS COLECTIVOS,INVERSION,Y,Total Actividades de Inversión
10102010103,VALORES DE  TITULARIZACIÓN DE PARTICIPACIÓN,INVERSION,Y,Total Actividades de Inversión
10102010104,UNIDADES DE PARTICIPACIÓN,INVERSION,Y,Total Actividades de Inversión
10102010105,INVERSIONES EN EL EXTERIOR,INVERSION,Y,Total Actividades de Inversión
10102010106,OTROS,INVERSION,Y,Total Actividades de Inversión
10102010201,AVALES,INVERSION,Y,Total Actividades de Inversión
10102010202,BONOS DEL ESTADO,INVERSION,Y,Total Actividades de Inversión
10102010203,BONOS DE PRENDA,INVERSION,Y,Total Actividades de Inversión
10102010204,CÉDULAS HIPOTECARIAS,INVERSION,Y,Total Actividades de Inversión
10102010205,CERTIFICADOS FINANCIEROS,INVERSION,Y,Total Actividades de Inversión
10102010206,CERTIFICADOS DE INVERSIÓN,INVERSION,Y,Total Actividades de Inversión
10102010207,CERTIFICADOS DE TESORERÍA,INVERSION,Y,Total Actividades de Inversión
10102010208,CERTIFICADOS DE DEPÓSITO,INVERSION,Y,Total Actividades de Inversión
10102010209,CUPONES,INVERSION,Y,Total Actividades de Inversión
10102010210,DEPÓSITOS A PLAZO,INVERSION,Y,Total Actividades de Inversión
10102010211,LETRAS DE CAMBIO,INVERSION,Y,Total Actividades de Inversión
10102010212,NOTAS DE CRÉDITO,INVERSION,Y,Total Actividades de Inversión
10102010213,OBLIGACIONES,INVERSION,Y,Total Actividades de Inversión
10102010214,FACTURAS COMERCIALES NEGOCIABLES,INVERSION,Y,Total Actividades de Inversión
10102010215,OVERNIGHTS,INVERSION,Y,Total Actividades de Inversión
10102010216,OBLIGACIONES CONVERTIBLES EN ACCIONES,INVERSION,Y,Total Actividades de Inversión
10102010217,PAPEL COMERCIAL,INVERSION,Y,Total Actividades de Inversión
10102010218,PAGARÉS,INVERSION,Y,Total Actividades de Inversión
10102010219,PÓLIZAS DE ACUMULACIÓN,INVERSION,Y,Total Actividades de Inversión
10102010220,TÍTULOS DEL BANCO CENTRAL,INVERSION,Y,Total Actividades de Inversión
10102010221,VALORES DE TITULARIZACIÓN,INVERSION,Y,Total Actividades de Inversión
10102010222,INVERSIONES EN EL EXTERIOR,INVERSION,Y,Total Actividades de Inversión
10102010223,OTROS,INVERSION,Y,Total Actividades de Inversión
10102010301,FORWARD,INVERSION,Y,Total Actividades de Inversión
10102010302,FUTUROS,INVERSION,Y,Total Actividades de Inversión
10102010303,OPCIONES,INVERSION,Y,Total Actividades de Inversión
10102010304,OTROS,INVERSION,Y,Total Actividades de Inversión
1010202,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,OPERACION,V,Gstos que no desenvolso de efectivo
10102020101,ACCIONES Y PARTICIPACIONES,INVERSION,Y,Total Actividades de Inversión
10102020102,CUOTAS DE FONDOS COLECTIVOS,INVERSION,Y,Total Actividades de Inversión
10102020103,UNIDADES DE PARTICIPACIÓN,INVERSION,Y,Total Actividades de Inversión
10102020104,VALORES DE  TITULARIZACIÓN DE PARTICIPACIÓN,INVERSION,Y,Total Actividades de Inversión
10102020105,INVERSIONES EN EL EXTERIOR,INVERSION,Y,Total Actividades de Inversión
10102020106,OTROS,INVERSION,Y,Total Actividades de Inversión
10102020201,AVALES,INVERSION,Y,Total Actividades de Inversión
10102020202,BONOS DEL ESTADO,INVERSION,Y,Total Actividades de Inversión
10102020203,BONOS DE PRENDA,INVERSION,Y,Total Actividades de Inversión
10102020204,CÉDULAS HIPOTECARIAS,INVERSION,Y,Total Actividades de Inversión
10102020205,CERTIFICADOS FINANCIEROS,INVERSION,Y,Total Actividades de Inversión
10102020206,CERTIFICADOS DE INVERSIÓN,INVERSION,Y,Total Actividades de Inversión
10102020207,CERTIFICADOS DE TESORERÍA,INVERSION,Y,Total Actividades de Inversión
