codigo_eri,categoria,descripcion
5010401,DEPRECIACION,DEPRECIACIÓN PROPIEDADES PLANTA Y EQUIPO (COSTO)
5010402,DETERIORO,DETERIORO O PÉRDIDAS DE ACTIVOS BIOLÓGICOS (COSTO)
5010403,DETERIORO,DETERIORO DE PROPIEDAD PLANTA Y EQUIPO (COSTO)
5010404,DETERIORO,EFECTO VALOR NETO DE REALIZACIÓN DE INVENTARIOS (COSTO)
5020120,DEPRECIACION,DEPRECIACIONES (GASTO)
5020121,AMORTIZACION,AMORTIZACIONES (GASTO)
5020122,DETERIORO,GASTO DETERIORO (GASTO)
5020125,DETERIORO,VALOR NETO DE REALIZACIÓN DE INVENTARIOS (GASTO)
5020221,DEPRECIACION,DEPRECIACIONES (GASTO ADMINISTRACIÓN/VENTAS)
5020222,AMORTIZACION,AMORTIZACIONES (GASTO ADMINISTRACIÓN/VENTAS)
5020223,DETERIORO,GASTO DETERIORO (GASTO ADMINISTRACIÓN/VENTAS)
5020226,DETERIORO,VALOR NETO DE REALIZACIÓN DE INVENTARIOS (GASTO ADM/VENTAS)
80006,DETERIORO,REVERSIÓN DEL DETERIORO (ORI)
