codigo_super_cias,codigo_sri,nombre_cuenta,nombre_sri,depreciacion
1,,ACTIVO,,
101,,ACTIVO CORRIENTE,,
10101,,EFECTIVO Y EQUIVALENTES DE EFECTIVO,,
1010101,311,CAJA,Efectivo y equivalentes al efectivo,
1010102,311,INSTITUCIONES FINANCIERAS PÚBLICAS,Efectivo y equivalentes al efectivo,
1010103,311,INSTITUCIONES FINANCIERAS PRIVADAS,Efectivo y equivalentes al efectivo,
10102,,ACTIVOS FINANCIEROS,,
1010201,,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS,,
101020101,,RENTA VARIABLE,,
10102010101,330,ACCIONES Y PARTICIPACIONES,A valor razonable,
10102010102,330,CUOTAS DE FONDOS COLECTIVOS,A valor razonable,
10102010103,330,VALORES DE  TITULARIZACIÓN DE PARTICIPACIÓN,A valor razonable,
10102010104,330,UNIDADES DE PARTICIPACIÓN,A valor razonable,
10102010105,330,INVERSIONES EN EL EXTERIOR,A valor razonable,
10102010106,330,OTROS,A valor razonable,
101020102,,RENTA FIJA,,
10102010201,330,AVALES,A valor razonable,
10102010202,330,BONOS DEL ESTADO,A valor razonable,
10102010203,330,BONOS DE PRENDA,A valor razonable,
10102010204,330,CÉDULAS HIPOTECARIAS,A valor razonable,
10102010205,330,CERTIFICADOS FINANCIEROS,A valor razonable,
10102010206,330,CERTIFICADOS DE INVERSIÓN,A valor razonable,
10102010207,330,CERTIFICADOS DE TESORERÍA,A valor razonable,
10102010208,330,CERTIFICADOS DE DEPÓSITO,A valor razonable,
10102010209,330,CUPONES,A valor razonable,
10102010210,330,DEPÓSITOS A PLAZO,A valor razonable,
10102010211,330,LETRAS DE CAMBIO,A valor razonable,
10102010212,330,NOTAS DE CRÉDITO,A valor razonable,
10102010213,330,OBLIGACIONES,A valor razonable,
10102010214,330,FACTURAS COMERCIALES NEGOCIABLES,A valor razonable,
10102010215,330,OVERNIGHTS,A valor razonable,
10102010216,330,OBLIGACIONES CONVERTIBLES EN ACCIONES,A valor razonable,
10102010217,330,PAPEL COMERCIAL,A valor razonable,
10102010218,330,PAGARÉS,A valor razonable,
10102010219,330,PÓLIZAS DE ACUMULACIÓN,A valor razonable,
10102010220,330,TÍTULOS DEL BANCO CENTRAL,A valor razonable,
10102010221,330,VALORES DE TITULARIZACIÓN,A valor razonable,
10102010222,330,INVERSIONES EN EL EXTERIOR,A valor razonable,
10102010223,330,OTROS,A valor razonable,
101020103,,DERIVADOS,,
10102010301,330,FORWARD,A valor razonable,
10102010302,330,FUTUROS,A valor razonable,
10102010303,330,OPCIONES,A valor razonable,
10102010304,330,OTROS,A valor razonable,
1010202,,ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL,,
101020201,,RENTA VARIABLE,,
10102020101,330,ACCIONES Y PARTICIPACIONES,A valor razonable,
10102020102,330,CUOTAS DE FONDOS COLECTIVOS,A valor razonable,
10102020103,330,UNIDADES DE PARTICIPACIÓN,A valor razonable,
10102020104,330,VALORES DE  TITULARIZACIÓN DE PARTICIPACIÓN,A valor razonable,
10102020105,330,INVERSIONES EN EL EXTERIOR,A valor razonable,
10102020106,330,OTROS,A valor razonable,
101020202,,RENTA FIJA,,
10102020201,330,AVALES,A valor razonable,
10102020202,330,BONOS DEL ESTADO,A valor razonable,
10102020203,330,BONOS DE PRENDA,A valor razonable,
10102020204,330,CÉDULAS HIPOTECARIAS,A valor razonable,
10102020205,330,CERTIFICADOS FINANCIEROS,A valor razonable,
10102020206,330,CERTIFICADOS DE INVERSIÓN,A valor razonable,
10102020207,330,CERTIFICADOS DE TESORERÍA,A valor razonable,
10102020208,330,CERTIFICADOS DE DEPÓSITO,A valor razonable,
10102020209,330,CUPONES,A valor razonable,
10102020210,330,DEPÓSITOS A PLAZO,A valor razonable,
10102020211,330,LETRAS DE CAMBIO,A valor razonable,
10102020212,330,NOTAS DE CRÉDITO,A valor razonable,
10102020213,330,OBLIGACIONES,A valor razonable,
